[2025-04-22 15:55:30] 32m         Normal    Pulled                         pod/nginx-basic-76dd66bf4f-rbs25          Successfully pulled image "nginx:latest" in 849ms (849ms including waiting). Image size: 72403299 bytes.
[2025-04-22 15:55:30] 32m         Normal    Created                        pod/nginx-basic-76dd66bf4f-rbs25          Created container nginx
[2025-04-22 15:55:30] 32m         Normal    Started                        pod/nginx-basic-76dd66bf4f-rbs25          Started container nginx
[2025-04-22 15:55:30] 32m         Warning   FailedGetResourceMetric        horizontalpodautoscaler/nginx-basic-hpa   failed to get cpu utilization: unable to get metrics for resource cpu: no metrics returned from resource metrics API
[2025-04-22 15:55:30] 32m         Warning   FailedComputeMetricsReplicas   horizontalpodautoscaler/nginx-basic-hpa   invalid metrics (1 invalid out of 1), first error is: failed to get cpu resource metric value: failed to get cpu utilization: unable to get metrics for resource cpu: no metrics returned from resource metrics API
[2025-04-22 15:55:30] 17m         Normal    Killing                        pod/nginx-basic-76dd66bf4f-rbs25          Stopping container nginx
[2025-04-22 15:55:30] 12m         Normal    ScalingReplicaSet              deployment/nginx-basic                    Scaled up replica set nginx-basic-76dd66bf4f to 1
[2025-04-22 15:55:30] 12m         Normal    SuccessfulCreate               replicaset/nginx-basic-76dd66bf4f         Created pod: nginx-basic-76dd66bf4f-gmstg
[2025-04-22 15:55:30] 12m         Normal    Scheduled                      pod/nginx-basic-76dd66bf4f-gmstg          Successfully assigned default/nginx-basic-76dd66bf4f-gmstg to worker7
[2025-04-22 15:55:30] 12m         Normal    Pulling                        pod/nginx-basic-76dd66bf4f-gmstg          Pulling image "nginx:latest"
[2025-04-22 15:55:30] 12m         Normal    Pulled                         pod/nginx-basic-76dd66bf4f-gmstg          Successfully pulled image "nginx:latest" in 851ms (851ms including waiting). Image size: 72403299 bytes.
[2025-04-22 15:55:30] 12m         Normal    Created                        pod/nginx-basic-76dd66bf4f-gmstg          Created container nginx
[2025-04-22 15:55:30] 12m         Normal    Started                        pod/nginx-basic-76dd66bf4f-gmstg          Started container nginx
[2025-04-22 15:55:30] 11m         Warning   FailedComputeMetricsReplicas   horizontalpodautoscaler/nginx-basic-hpa   invalid metrics (1 invalid out of 1), first error is: failed to get cpu resource metric value: failed to get cpu utilization: unable to get metrics for resource cpu: no metrics returned from resource metrics API
[2025-04-22 15:55:30] 11m         Warning   FailedGetResourceMetric        horizontalpodautoscaler/nginx-basic-hpa   failed to get cpu utilization: unable to get metrics for resource cpu: no metrics returned from resource metrics API
[2025-04-22 15:55:40] 60m         Normal    Killing                        pod/nginx-basic-76dd66bf4f-4np5v          Stopping container nginx
[2025-04-22 15:55:40] 55m         Normal    ScalingReplicaSet              deployment/nginx-basic                    Scaled up replica set nginx-basic-76dd66bf4f to 1
[2025-04-22 15:55:40] 55m         Normal    SuccessfulCreate               replicaset/nginx-basic-76dd66bf4f         Created pod: nginx-basic-76dd66bf4f-fs2zd
[2025-04-22 15:55:40] 55m         Normal    Scheduled                      pod/nginx-basic-76dd66bf4f-fs2zd          Successfully assigned default/nginx-basic-76dd66bf4f-fs2zd to worker7
[2025-04-22 15:55:40] 55m         Normal    Pulling                        pod/nginx-basic-76dd66bf4f-fs2zd          Pulling image "nginx:latest"
[2025-04-22 15:55:40] 55m         Normal    Pulled                         pod/nginx-basic-76dd66bf4f-fs2zd          Successfully pulled image "nginx:latest" in 891ms (891ms including waiting). Image size: 72403299 bytes.
[2025-04-22 15:55:40] 55m         Normal    Created                        pod/nginx-basic-76dd66bf4f-fs2zd          Created container nginx
[2025-04-22 15:55:40] 55m         Normal    Started                        pod/nginx-basic-76dd66bf4f-fs2zd          Started container nginx
[2025-04-22 15:55:40] 55m         Warning   FailedComputeMetricsReplicas   horizontalpodautoscaler/nginx-basic-hpa   invalid metrics (1 invalid out of 1), first error is: failed to get cpu resource metric value: failed to get cpu utilization: did not receive metrics for targeted pods (pods might be unready)
[2025-04-22 15:55:40] 55m         Warning   FailedGetResourceMetric        horizontalpodautoscaler/nginx-basic-hpa   failed to get cpu utilization: did not receive metrics for targeted pods (pods might be unready)
[2025-04-22 15:55:40] 37m         Normal    Killing                        pod/nginx-basic-76dd66bf4f-fs2zd          Stopping container nginx
[2025-04-22 15:55:40] 32m         Normal    ScalingReplicaSet              deployment/nginx-basic                    Scaled up replica set nginx-basic-76dd66bf4f to 1
[2025-04-22 15:55:40] 32m         Normal    SuccessfulCreate               replicaset/nginx-basic-76dd66bf4f         Created pod: nginx-basic-76dd66bf4f-rbs25
[2025-04-22 15:55:40] 32m         Normal    Scheduled                      pod/nginx-basic-76dd66bf4f-rbs25          Successfully assigned default/nginx-basic-76dd66bf4f-rbs25 to worker7
[2025-04-22 15:55:40] 32m         Normal    Pulling                        pod/nginx-basic-76dd66bf4f-rbs25          Pulling image "nginx:latest"
[2025-04-22 15:55:40] 32m         Normal    Pulled                         pod/nginx-basic-76dd66bf4f-rbs25          Successfully pulled image "nginx:latest" in 849ms (849ms including waiting). Image size: 72403299 bytes.
[2025-04-22 15:55:40] 32m         Normal    Created                        pod/nginx-basic-76dd66bf4f-rbs25          Created container nginx
[2025-04-22 15:55:40] 32m         Normal    Started                        pod/nginx-basic-76dd66bf4f-rbs25          Started container nginx
[2025-04-22 15:55:40] 32m         Warning   FailedGetResourceMetric        horizontalpodautoscaler/nginx-basic-hpa   failed to get cpu utilization: unable to get metrics for resource cpu: no metrics returned from resource metrics API
[2025-04-22 15:55:40] 32m         Warning   FailedComputeMetricsReplicas   horizontalpodautoscaler/nginx-basic-hpa   invalid metrics (1 invalid out of 1), first error is: failed to get cpu resource metric value: failed to get cpu utilization: unable to get metrics for resource cpu: no metrics returned from resource metrics API
[2025-04-22 15:55:40] 17m         Normal    Killing                        pod/nginx-basic-76dd66bf4f-rbs25          Stopping container nginx
[2025-04-22 15:55:40] 12m         Normal    ScalingReplicaSet              deployment/nginx-basic                    Scaled up replica set nginx-basic-76dd66bf4f to 1
[2025-04-22 15:55:40] 12m         Normal    SuccessfulCreate               replicaset/nginx-basic-76dd66bf4f         Created pod: nginx-basic-76dd66bf4f-gmstg
[2025-04-22 15:55:40] 12m         Normal    Scheduled                      pod/nginx-basic-76dd66bf4f-gmstg          Successfully assigned default/nginx-basic-76dd66bf4f-gmstg to worker7
[2025-04-22 15:55:40] 12m         Normal    Pulling                        pod/nginx-basic-76dd66bf4f-gmstg          Pulling image "nginx:latest"
[2025-04-22 15:55:40] 12m         Normal    Pulled                         pod/nginx-basic-76dd66bf4f-gmstg          Successfully pulled image "nginx:latest" in 851ms (851ms including waiting). Image size: 72403299 bytes.
[2025-04-22 15:55:40] 12m         Normal    Created                        pod/nginx-basic-76dd66bf4f-gmstg          Created container nginx
[2025-04-22 15:55:40] 12m         Normal    Started                        pod/nginx-basic-76dd66bf4f-gmstg          Started container nginx
[2025-04-22 15:55:40] 12m         Warning   FailedComputeMetricsReplicas   horizontalpodautoscaler/nginx-basic-hpa   invalid metrics (1 invalid out of 1), first error is: failed to get cpu resource metric value: failed to get cpu utilization: unable to get metrics for resource cpu: no metrics returned from resource metrics API
[2025-04-22 15:55:40] 12m         Warning   FailedGetResourceMetric        horizontalpodautoscaler/nginx-basic-hpa   failed to get cpu utilization: unable to get metrics for resource cpu: no metrics returned from resource metrics API
[2025-04-22 15:55:50] 60m         Normal    Killing                        pod/nginx-basic-76dd66bf4f-4np5v          Stopping container nginx
[2025-04-22 15:55:50] 55m         Normal    ScalingReplicaSet              deployment/nginx-basic                    Scaled up replica set nginx-basic-76dd66bf4f to 1
[2025-04-22 15:55:50] 55m         Normal    SuccessfulCreate               replicaset/nginx-basic-76dd66bf4f         Created pod: nginx-basic-76dd66bf4f-fs2zd
[2025-04-22 15:55:50] 55m         Normal    Scheduled                      pod/nginx-basic-76dd66bf4f-fs2zd          Successfully assigned default/nginx-basic-76dd66bf4f-fs2zd to worker7
[2025-04-22 15:55:50] 55m         Normal    Pulling                        pod/nginx-basic-76dd66bf4f-fs2zd          Pulling image "nginx:latest"
[2025-04-22 15:55:50] 55m         Normal    Pulled                         pod/nginx-basic-76dd66bf4f-fs2zd          Successfully pulled image "nginx:latest" in 891ms (891ms including waiting). Image size: 72403299 bytes.
[2025-04-22 15:55:50] 55m         Normal    Created                        pod/nginx-basic-76dd66bf4f-fs2zd          Created container nginx
[2025-04-22 15:55:50] 55m         Normal    Started                        pod/nginx-basic-76dd66bf4f-fs2zd          Started container nginx
[2025-04-22 15:55:50] 55m         Warning   FailedComputeMetricsReplicas   horizontalpodautoscaler/nginx-basic-hpa   invalid metrics (1 invalid out of 1), first error is: failed to get cpu resource metric value: failed to get cpu utilization: did not receive metrics for targeted pods (pods might be unready)
[2025-04-22 15:55:50] 55m         Warning   FailedGetResourceMetric        horizontalpodautoscaler/nginx-basic-hpa   failed to get cpu utilization: did not receive metrics for targeted pods (pods might be unready)
[2025-04-22 15:55:50] 38m         Normal    Killing                        pod/nginx-basic-76dd66bf4f-fs2zd          Stopping container nginx
[2025-04-22 15:55:50] 33m         Normal    ScalingReplicaSet              deployment/nginx-basic                    Scaled up replica set nginx-basic-76dd66bf4f to 1
[2025-04-22 15:55:50] 33m         Normal    SuccessfulCreate               replicaset/nginx-basic-76dd66bf4f         Created pod: nginx-basic-76dd66bf4f-rbs25
[2025-04-22 15:55:50] 33m         Normal    Scheduled                      pod/nginx-basic-76dd66bf4f-rbs25          Successfully assigned default/nginx-basic-76dd66bf4f-rbs25 to worker7
[2025-04-22 15:55:50] 33m         Normal    Pulling                        pod/nginx-basic-76dd66bf4f-rbs25          Pulling image "nginx:latest"
[2025-04-22 15:55:50] 33m         Normal    Pulled                         pod/nginx-basic-76dd66bf4f-rbs25          Successfully pulled image "nginx:latest" in 849ms (849ms including waiting). Image size: 72403299 bytes.
[2025-04-22 15:55:50] 33m         Normal    Created                        pod/nginx-basic-76dd66bf4f-rbs25          Created container nginx
[2025-04-22 15:55:50] 33m         Normal    Started                        pod/nginx-basic-76dd66bf4f-rbs25          Started container nginx
[2025-04-22 15:55:50] 32m         Warning   FailedGetResourceMetric        horizontalpodautoscaler/nginx-basic-hpa   failed to get cpu utilization: unable to get metrics for resource cpu: no metrics returned from resource metrics API
[2025-04-22 15:55:50] 32m         Warning   FailedComputeMetricsReplicas   horizontalpodautoscaler/nginx-basic-hpa   invalid metrics (1 invalid out of 1), first error is: failed to get cpu resource metric value: failed to get cpu utilization: unable to get metrics for resource cpu: no metrics returned from resource metrics API
[2025-04-22 15:55:50] 17m         Normal    Killing                        pod/nginx-basic-76dd66bf4f-rbs25          Stopping container nginx
[2025-04-22 15:55:50] 12m         Normal    ScalingReplicaSet              deployment/nginx-basic                    Scaled up replica set nginx-basic-76dd66bf4f to 1
[2025-04-22 15:55:50] 12m         Normal    SuccessfulCreate               replicaset/nginx-basic-76dd66bf4f         Created pod: nginx-basic-76dd66bf4f-gmstg
[2025-04-22 15:55:50] 12m         Normal    Scheduled                      pod/nginx-basic-76dd66bf4f-gmstg          Successfully assigned default/nginx-basic-76dd66bf4f-gmstg to worker7
